Picture ID,Species,DietCategory,Individual,Branch,Widest Pith Width (cm),Widest Branch Width (cm),Widest Relative Pith,Narrowest Pith Width (cm),Narrowest Branch Width (cm),Narrowest Relative Pith,Intermediate Pith Width (cm),Intermediate Branch Width (cm),Intermediate Relative Pith,Scale Measurement (cm),Average Pith Width (cm),Average Relative Pith,Scale,Comments,,,,,,,,,,,,,,,
CVIT5branch2,Cochlospermum vitifolium,Dietary,5,2,0.429,0.943,0.454931071,0.288,0.639,0.450704225,0.367,0.801,0.458177278,10,0.361333333,0.454604192,10 cm ruler,,,,,,,,,,,,,,,,
RTRI1branch1,Rhedera trinervis,Non-dietary,1,1,0.13,0.492,0.264227642,0.038,0.399,0.095238095,0.113,0.435,0.259770115,10,0.093666667,0.206411951,10 cm ruler,,,,,,,,,,,,,,,,
RTRI1branch2,Rhedera trinervis,Non-dietary,1,2,0.158,0.414,0.381642512,0.094,0.418,0.224880383,0.144,0.416,0.346153846,9.986,0.132,0.317558914,10 cm ruler,,,,,,,,,,,,,,,,
RTRI2branch1,Rhedera trinervis,Non-dietary,2,1,0.264,0.482,0.547717842,0.199,0.432,0.460648148,0.247,0.515,0.47961165,9.995,0.236666667,0.495992547,10 cm ruler,,,,,,,,,,,,,,,,
RTRI2branch2,Rhedera trinervis,Non-dietary,2,2,0.177,0.438,0.404109589,0.097,0.34,0.285294118,0.145,0.408,0.355392157,9.983,0.139666667,0.348265288,10 cm ruler,,,,,,,,,,,,,,,,
RTRI3branch1,Rhedera trinervis,Non-dietary,3,1,0.286,0.484,0.590909091,0.196,0.486,0.403292181,0.236,0.489,0.482617587,9.995,0.239333333,0.492272953,10 cm ruler,,,,,,,,,,,,,,,,
RTRI3branch2,Rhedera trinervis,Non-dietary,3,2,0.175,0.413,0.423728814,0.118,0.416,0.283653846,0.138,0.394,0.350253807,10,0.143666667,0.352545489,10 cm ruler,,,,,,,,,,,,,,,,
RTRI4branch1,Rhedera trinervis,Non-dietary,4,1,0.157,0.329,0.477203647,0.1,0.302,0.331125828,0.142,0.327,0.434250765,9.999,0.133,0.414193413,10 cm ruler,,,,,,,,,,,,,,,,
RTRI4branch2,Rhedera trinervis,Non-dietary,4,2,0.154,0.434,0.35483871,0.112,0.434,0.258064516,0.125,0.435,0.287356322,9.984,0.130333333,0.300086516,10 cm ruler,,,,,,,,,,,,,,,,
RTRI5branch1,Rhedera trinervis,Non-dietary,5,1,0.216,0.42,0.514285714,0.148,0.383,0.386422977,0.161,0.408,0.394607843,10.002,0.175,0.431772178,10 cm ruler,,,,,,,,,,,,,,,,
RTRI5branch2,Rhedera trinervis,Non-dietary,5,2,0.171,0.491,0.348268839,0.04,0.544,0.073529412,0.093,0.575,0.16173913,9.985,0.101333333,0.19451246,10 cm ruler,,,,,,,,,,,,,,,,
BSIM1branch1,Bursera simaruba,Dietary,1,1,0.444,0.891,0.498316498,0.32,0.791,0.404551201,0.344,0.794,0.43324937,10.002,0.369333333,0.445372357,10 cm ruler,,,,,,,,,,,,,,,,
BSIM1branch2,Bursera simaruba,Dietary,1,2,0.437,0.845,0.517159763,0.283,0.749,0.377837116,0.308,0.74,0.416216216,10,0.342666667,0.437071032,10 cm ruler,,,,,,,,,,,,,,,,
BSIM2branch1,Bursera simaruba,Dietary,2,1,0.538,0.949,0.56691254,0.333,0.856,0.389018692,0.369,0.829,0.445114596,10.002,0.413333333,0.467015276,10 cm ruler,,,,,,,,,,,,,,,,
BSIM2branch2,Bursera simaruba,Dietary,2,2,0.479,1,0.479,0.304,0.998,0.304609218,0.478,1.054,0.453510436,9.995,0.420333333,0.412373218,10 cm ruler,,,,,,,,,,,,,,,,
BSIM3branch1,Bursera simaruba,Dietary,3,1,0.293,0.923,0.31744312,0.206,0.839,0.245530393,0.258,0.843,0.306049822,10,0.252333333,0.289674445,10 cm ruler,,,,,,,,,,,,,,,,
BSIM3branch2,Bursera simaruba,Dietary,3,2,0.312,0.877,0.355758267,0.221,0.896,0.246651786,0.248,0.871,0.284730195,10.017,0.260333333,0.295713416,10 cm ruler,,,,,,,,,,,,,,,,
BSIM4branch1,Bursera simaruba,Dietary,4,1,0.539,1,0.539,0.421,0.786,0.53562341,0.44,0.79,0.556962025,10,0.466666667,0.543861812,10 cm ruler,,,,,,,,,,,,,,,,
BSIM4branch2,Bursera simaruba,Dietary,4,2,0.424,0.659,0.64339909,0.21,0.51,0.411764706,0.281,0.575,0.488695652,10,0.305,0.514619816,10 cm ruler,,,,,,,,,,,,,,,,
BSIM5branch1,Bursera simaruba,Dietary,5,1,0.435,0.975,0.446153846,0.165,1.053,0.156695157,0.266,1.015,0.262068966,10.003,0.288666667,0.288305989,10 cm ruler,,,,,,,,,,,,,,,,
BSIM5branch2,Bursera simaruba,Dietary,5,2,0.527,0.939,0.561235357,0.317,1.052,0.301330798,0.428,0.954,0.448637317,10.003,0.424,0.437067824,10 cm ruler,,,,,,,,,,,,,,,,
SMOM1branch1,Spondias mombin,Dietary,1,1,0.338,0.545,0.620183486,0.244,0.46,0.530434783,0.286,0.568,0.503521127,10,0.289333333,0.551379799,10 cm ruler,,,,,,,,,,,,,,,,
SMOM1branch2,Spondias mombin,Dietary,1,2,0.361,0.582,0.620274914,0.295,0.497,0.593561368,0.361,0.535,0.674766355,9.983,0.339,0.629534212,10 cm ruler,,,,,,,,,,,,,,,,
SMOM2branch1,Spondias mombin,Dietary,2,1,0.735,1.367,0.537673738,0.385,1.251,0.307753797,0.664,1.456,0.456043956,10,0.594666667,0.43382383,10 cm ruler,,,,,,,,,,,,,,,,
SMOM2branch2,Spondias mombin,Dietary,2,2,0.42,1.197,0.350877193,0.26,1.117,0.232766338,0.365,1.157,0.315471046,9.987,0.348333333,0.299704859,10 cm ruler,,,,,,,,,,,,,,,,
SMOM3branch1,Spondias mombin,Dietary,3,1,0.305,0.727,0.419532325,0.164,0.573,0.286212914,0.22,0.655,0.335877863,10,0.229666667,0.347207701,10 cm ruler,,,,,,,,,,,,,,,,
SMOM3branch2,Spondias mombin,Dietary,3,2,0.406,0.765,0.530718954,0.204,0.632,0.32278481,0.349,0.693,0.503607504,10,0.319666667,0.452370423,10 cm ruler,,,,,,,,,,,,,,,,
SMOM4branch1,Spondias mombin,Dietary,4,1,0.529,0.833,0.635054022,0.391,0.779,0.501925546,0.463,0.817,0.566707466,10.017,0.461,0.567895678,10 cm ruler,,,,,,,,,,,,,,,,
SMOM4branch2,Spondias mombin,Dietary,4,2,0.371,0.98,0.378571429,0.276,0.721,0.382801664,0.294,0.818,0.359413203,10.005,0.313666667,0.373595432,10 cm ruler,,,,,,,,,,,,,,,,
SMOM5branch1,Spondias mombin,Dietary,5,1,0.403,0.641,0.628705148,0.181,0.665,0.272180451,0.33,0.677,0.487444609,10.009,0.304666667,0.462776736,10 cm ruler,,,,,,,,,,,,,,,,
SMOM5branch2,Spondias mombin,Dietary,5,2,0.407,0.844,0.482227488,0.332,0.829,0.400482509,0.343,0.664,0.516566265,9.995,0.360666667,0.466425421,10 cm ruler,,,,,,,,,,,,,,,,
TAME1branch1,Trichilia americana,Dietary,1,1,0.655,1.047,0.625596944,0.347,0.704,0.492897727,0.479,0.851,0.562867215,10.005,0.493666667,0.560453962,10 cm ruler,,,,,,,,,,,,,,,,
TAME1branch2,Trichilia americana,Dietary,1,2,0.622,0.791,0.786346397,0.323,0.77,0.419480519,0.49,0.789,0.62103929,10,0.478333333,0.608955402,10 cm ruler,,,,,,,,,,,,,,,,
TAME2branch1,Trichilia americana,Dietary,2,1,0.53,1.013,0.523198421,0.288,0.709,0.406205924,0.485,0.849,0.571260306,10.014,0.434333333,0.50022155,10 cm ruler,,,,,,,,,,,,,,,,
TAME2branch2,Trichilia americana,Dietary,2,2,0.591,1.016,0.581692913,0.464,1.071,0.433239963,0.516,1.148,0.449477352,9.985,0.523666667,0.488136743,10 cm ruler,,,,,,,,,,,,,,,,
TAME3branch1,Trichilia americana,Dietary,3,1,0.495,0.893,0.55431131,0.324,1.044,0.310344828,0.448,1.114,0.402154399,10.003,0.422333333,0.422270179,10 cm ruler,,,,,,,,,,,,,,,,
TAME3branch2,Trichilia americana,Dietary,3,2,0.58,1.002,0.578842315,0.459,0.88,0.521590909,0.483,0.9,0.536666667,9.997,0.507333333,0.545699964,10 cm ruler,,,,,,,,,,,,,,,,
TAME4branch1,Trichilia americana,Dietary,4,1,0.666,1.048,0.635496183,0.42,1.069,0.392890552,0.518,0.957,0.541274817,10,0.534666667,0.523220517,10 cm ruler,,,,,,,,,,,,,,,,
TAME4branch2,Trichilia americana,Dietary,4,2,0.64,1.205,0.531120332,0.386,0.698,0.553008596,0.551,0.973,0.566289825,10.001,0.525666667,0.550139584,10 cm ruler,,,,,,,,,,,,,,,,
TAME5branch1,Trichilia americana,Dietary,5,1,0.632,0.98,0.644897959,0.263,0.611,0.430441899,0.419,0.706,0.593484419,10,0.438,0.556274759,10 cm ruler,,,,,,,,,,,,,,,,
TAME5branch2,Trichilia americana,Dietary,5,2,0.411,0.771,0.53307393,0.182,0.512,0.35546875,0.364,0.598,0.608695652,10.002,0.319,0.499079444,10 cm ruler,,,,,,,,,,,,,,,,
MOCC1branch1,Mabea occidentalis,Dietary,1,1,0.162,0.461,0.351409978,0.073,0.402,0.18159204,0.144,0.478,0.30125523,10.005,0.126333333,0.278085749,10 cm ruler,,,,,,,,,,,,,,,,
MOCC1branch2,Mabea occidentalis,Dietary,1,2,0.116,0.472,0.245762712,0.044,0.455,0.096703297,0.074,0.443,0.167042889,10,0.078,0.169836299,10 cm ruler,,,,,,,,,,,,,,,,
MOCC2branch1,Mabea occidentalis,Dietary,2,1,0.148,0.4,0.37,0.084,0.232,0.362068966,0.148,0.351,0.421652422,10.013,0.126666667,0.384573796,10 cm ruler,,,,,,,,,,,,,,,,
MOCC2branch2,Mabea occidentalis,Dietary,2,2,0.333,0.589,0.565365025,0.175,0.48,0.364583333,0.255,0.573,0.445026178,10,0.254333333,0.458324846,10 cm ruler,,,,,,,,,,,,,,,,
MOCC3branch1,Mabea occidentalis,Dietary,3,1,0.184,0.42,0.438095238,0.079,0.308,0.256493506,0.124,0.387,0.320413437,10.004,0.129,0.33833406,10 cm ruler,,,,,,,,,,,,,,,,
MOCC3branch2,Mabea occidentalis,Dietary,3,2,0.182,0.534,0.34082397,0.099,0.416,0.237980769,0.132,0.397,0.332493703,9.988,0.137666667,0.303766147,10 cm ruler,,,,,,,,,,,,,,,,
MOCC4branch1,Mabea occidentalis,Dietary,4,1,0.182,0.329,0.553191489,0.097,0.296,0.327702703,0.147,0.331,0.444108761,9.988,0.142,0.441667651,10 cm ruler,,,,,,,,,,,,,,,,
MOCC4branch2,Mabea occidentalis,Dietary,4,2,0.163,0.396,0.411616162,0.099,0.481,0.205821206,0.116,0.345,0.336231884,10,0.126,0.31788975,10 cm ruler,,,,,,,,,,,,,,,,
MOCC5branch1,Mabea occidentalis,Dietary,5,1,0.162,0.45,0.36,0.072,0.485,0.148453608,0.126,0.486,0.259259259,10,0.12,0.255904289,10 cm ruler,,,,,,,,,,,,,,,,
MOCC5branch2,Mabea occidentalis,Dietary,5,2,0.114,0.503,0.226640159,0.032,0.333,0.096096096,0.097,0.505,0.192079208,10.008,0.081,0.171605154,10 cm ruler,,,,,,,,,,,,,,,,
TOCH1branch1,Tabebuia ochracea,Non-dietary,1,1,0.454,0.916,0.495633188,0.208,0.433,0.480369515,0.4,0.686,0.583090379,9.983,0.354,0.519697694,10 cm ruler,,,,,,,,,,,,,,,,
TOCH1branch2,Tabebuia ochracea,Non-dietary,1,2,0.318,0.661,0.481089259,0.2,0.441,0.453514739,0.26,0.481,0.540540541,9.998,0.259333333,0.491714846,10 cm ruler,,,,,,,,,,,,,,,,
TOCH2branch1,Tabebuia ochracea,Non-dietary,2,1,0.35,0.483,0.724637681,0.212,0.405,0.52345679,0.292,0.54,0.540740741,9.99,0.284666667,0.596278404,10 cm ruler,,,,,,,,,,,,,,,,
TOCH2branch2,Tabebuia ochracea,Non-dietary,2,2,0.333,0.904,0.368362832,0.175,0.416,0.420673077,0.253,0.708,0.357344633,10.005,0.253666667,0.382126847,10 cm ruler,,,,,,,,,,,,,,,,
TOCH3branch1,Tabebuia ochracea,Non-dietary,3,1,0.279,0.595,0.468907563,0.139,0.416,0.334134615,0.222,0.501,0.443113772,9.996,0.213333333,0.415385317,10 cm ruler,,,,,,,,,,,,,,,,
TOCH3branch2,Tabebuia ochracea,Non-dietary,3,2,0.32,0.604,0.529801325,0.117,0.469,0.249466951,0.234,0.468,0.5,10,0.223666667,0.426422758,10 cm ruler,,,,,,,,,,,,,,,,
TOCH4branch1,Tabebuia ochracea,Non-dietary,4,1,0.335,0.561,0.59714795,0.248,0.527,0.470588235,0.282,0.543,0.519337017,9.985,0.288333333,0.529024401,10 cm ruler,,,,,,,,,,,,,,,,
TOCH4branch2,Tabebuia ochracea,Non-dietary,4,2,0.351,0.551,0.637023593,0.22,0.423,0.520094563,0.332,0.618,0.537216828,10.004,0.301,0.564778328,10 cm ruler,,,,,,,,,,,,,,,,
TOCH5branch1,Tabebuia ochracea,Non-dietary,5,1,0.296,0.448,0.660714286,0.243,0.425,0.571764706,0.245,0.401,0.610972569,10,0.261333333,0.614483853,10 cm ruler,,,,,,,,,,,,,,,,
TOCH5branch2,Tabebuia ochracea,Non-dietary,5,2,0.386,0.738,0.52303523,0.168,0.457,0.36761488,0.27,0.57,0.473684211,10.006,0.274666667,0.454778107,10 cm ruler,,,,,,,,,,,,,,,,
LMIN1branch1,Lonchocarpus miniflorus,Non-dietary,1,1,0.077,0.463,0.166306695,0.019,0.425,0.044705882,0.058,0.445,0.130337079,10.002,0.051333333,0.113783219,10 cm ruler,,,,,,,,,,,,,,,,
LMIN1branch2,Lonchocarpus miniflorus,Non-dietary,1,2,0.085,0.333,0.255255255,0.028,0.396,0.070707071,0.056,0.368,0.152173913,10,0.056333333,0.159378746,10 cm ruler,,,,,,,,,,,,,,,,
LMIN2branch1,Lonchocarpus miniflorus,Non-dietary,2,1,0.043,0.447,0.096196868,0.021,0.447,0.046979866,0.021,0.469,0.044776119,10.003,0.028333333,0.062650951,10 cm ruler,,,,,,,,,,,,,,,,
LMIN2branch2,Lonchocarpus miniflorus,Non-dietary,2,2,0.065,0.39,0.166666667,0.022,0.347,0.063400576,0.065,0.412,0.15776699,10,0.050666667,0.129278078,10 cm ruler,,,,,,,,,,,,,,,,
LMIN3branch1,Lonchocarpus miniflorus,Non-dietary,3,1,0.099,0.296,0.334459459,0.049,0.419,0.116945107,0.074,0.37,0.2,10,0.074,0.217134856,10 cm ruler,,,,,,,,,,,,,,,,
LMIN3branch2,Lonchocarpus miniflorus,Non-dietary,3,2,0.096,0.625,0.1536,0.048,0.552,0.086956522,0.048,0.504,0.095238095,10,0.064,0.111931539,10 cm ruler,,,,,,,,,,,,,,,,
LMIN4branch1,Lonchocarpus miniflorus,Non-dietary,4,1,0.084,0.359,0.233983287,0.042,0.336,0.125,0.042,0.314,0.133757962,10.003,0.056,0.164247083,10 cm ruler,,,,,,,,,,,,,,,,
LMIN4branch2,Lonchocarpus miniflorus,Non-dietary,4,2,0.106,0.358,0.296089385,0.026,0.37,0.07027027,0.054,0.353,0.152974504,10,0.062,0.173111387,10 cm ruler,,,,,,,,,,,,,,,,
LMIN5branch1,Lonchocarpus miniflorus,Non-dietary,5,1,0.111,0.407,0.272727273,0.058,0.267,0.217228464,0.084,0.436,0.19266055,9.999,0.084333333,0.227538763,10 cm ruler,,,,,,,,,,,,,,,,
LMIN5branch2,Lonchocarpus miniflorus,Non-dietary,5,2,0.118,0.339,0.348082596,0.03,0.207,0.144927536,0.072,0.266,0.270676692,9.99,0.073333333,0.254562275,10 cm ruler,,,,,,,,,,,,,,,,
LSPE1branch1,Luehea speciosa,Non-dietary,1,1,0.094,0.291,0.323024055,0.067,0.298,0.224832215,0.079,0.291,0.271477663,10,0.08,0.273111311,10 cm ruler,,,,,,,,,,,,,,,,
LSPE1branch2,Luehea speciosa,Non-dietary,1,2,0.172,0.477,0.360587002,0.06,0.422,0.142180095,0.121,0.393,0.307888041,10,0.117666667,0.270218379,10 cm ruler,,,,,,,,,,,,,,,,
LSPE2branch1,Luehea speciosa,Non-dietary,2,1,0.126,0.268,0.470149254,0.063,0.266,0.236842105,0.102,0.28,0.364285714,10,0.097,0.357092358,10 cm ruler,,,,,,,,,,,,,,,,
LSPE2branch2,Luehea speciosa,Non-dietary,2,2,0.121,0.302,0.400662252,0.068,0.435,0.156321839,0.095,0.408,0.232843137,9.998,0.094666667,0.263275743,10 cm ruler,,,,,,,,,,,,,,,,
LSPE3branch1,Luehea speciosa,Non-dietary,3,1,0.134,0.366,0.366120219,0.066,0.326,0.202453988,0.081,0.367,0.220708447,10,0.093666667,0.263094218,10 cm ruler,,,,,,,,,,,,,,,,
LSPE3branch2,Luehea speciosa,Non-dietary,3,2,0.125,0.355,0.352112676,0.063,0.444,0.141891892,0.089,0.445,0.2,9.989,0.092333333,0.231334856,10 cm ruler,,,,,,,,,,,,,,,,
LSPE4branch1,Luehea speciosa,Non-dietary,4,1,0.137,0.488,0.280737705,0.097,0.39,0.248717949,0.125,0.515,0.242718447,10.001,0.119666667,0.257391367,10 cm ruler,,,,,,,,,,,,,,,,
LSPE4branch2,Luehea speciosa,Non-dietary,4,2,0.148,0.456,0.324561404,0.073,0.5,0.146,0.131,0.457,0.286652079,9.985,0.117333333,0.252404494,10 cm ruler,,,,,,,,,,,,,,,,
LSPE5branch1,Luehea speciosa,Non-dietary,5,1,0.118,0.303,0.389438944,0.039,0.316,0.123417722,0.066,0.263,0.25095057,10.001,0.074333333,0.254602412,10 cm ruler,,,,,,,,,,,,,,,,
LSPE5branch2,Luehea speciosa,Non-dietary,5,2,0.102,0.242,0.421487603,0.038,0.318,0.119496855,0.064,0.318,0.201257862,9.998,0.068,0.247414107,10 cm ruler,,,,,,,,,,,,,,,,
AHER1branch1,Ateleia herbert-smithii,Non-dietary,1,1,0.205,0.773,0.265200517,0.092,0.899,0.102335929,0.147,0.771,0.190661479,10,0.148,0.186065975,10 cm ruler,,,,,,,,,,,,,,,,
AHER1branch2,Ateleia herbert-smithii,Non-dietary,1,2,0.179,0.578,0.309688581,0.068,0.46,0.147826087,0.099,0.594,0.166666667,10,0.115333333,0.208060445,10 cm ruler,,,,,,,,,,,,,,,,
AHER2branch1,Ateleia herbert-smithii,Non-dietary,2,1,0.293,0.543,0.539594843,0.156,0.488,0.319672131,0.207,0.552,0.375,10,0.218666667,0.411422325,10 cm ruler,,,,,,,,,,,,,,,,
AHER2branch2,Ateleia herbert-smithii,Non-dietary,2,2,0.213,0.568,0.375,0.071,0.515,0.137864078,0.126,0.586,0.215017065,9.999,0.136666667,0.242627048,10 cm ruler,,,,,,,,,,,,,,,,
AHER3branch1,Ateleia herbert-smithii,Non-dietary,3,1,0.272,0.529,0.514177694,0.1,0.493,0.202839757,0.223,0.55,0.405454545,10,0.198333333,0.374157332,10 cm ruler,,,,,,,,,,,,,,,,
AHER3branch2,Ateleia herbert-smithii,Non-dietary,3,2,0.24,0.524,0.458015267,0.096,0.689,0.139332366,0.142,0.592,0.239864865,9.998,0.159333333,0.279070833,10 cm ruler,,,,,,,,,,,,,,,,
AHER4branch1,Ateleia herbert-smithii,Non-dietary,4,1,0.212,0.548,0.386861314,0.104,0.477,0.21802935,0.159,0.548,0.290145985,9.998,0.158333333,0.29834555,10 cm ruler,,,,,,,,,,,,,,,,
AHER4branch2,Ateleia herbert-smithii,Non-dietary,4,2,0.248,0.477,0.519916143,0.071,0.354,0.200564972,0.168,0.427,0.393442623,10,0.162333333,0.371307912,10 cm ruler,,,,,,,,,,,,,,,,
AHER5branch1,Ateleia herbert-smithii,Non-dietary,5,1,0.332,0.595,0.557983193,0.175,0.333,0.525525526,0.192,0.437,0.439359268,9.985,0.233,0.507622662,10 cm ruler,,,,,,,,,,,,,,,,
AHER5branch2,Ateleia herbert-smithii,Non-dietary,5,2,0.292,0.502,0.581673307,0.179,0.492,0.363821138,0.211,0.423,0.498817967,10.002,0.227333333,0.481437471,10 cm ruler,,,,,,,,,,,,,,,,
SOBO1branch1,Stemmadenia obovata,Non-dietary,1,1,0.325,0.597,0.54438861,0.126,0.47,0.268085106,0.217,0.469,0.462686567,10.007,0.222666667,0.425053428,10 cm ruler,,,,,,,,,,,,,,,,
SOBO1branch2,Stemmadenia obovata,Non-dietary,1,2,0.37,0.657,0.563165906,0.165,0.542,0.304428044,0.226,0.587,0.385008518,9.998,0.253666667,0.417534156,10 cm ruler,,,,,,,,,,,,,,,,
SOBO2branch1,Stemmadenia obovata,Non-dietary,2,1,0.25,0.469,0.533049041,0.141,0.392,0.359693878,0.203,0.406,0.5,9.999,0.198,0.464247639,10 cm ruler,,,,,,,,,,,,,,,,
SOBO2branch2,Stemmadenia obovata,Non-dietary,2,2,0.46,0.658,0.699088146,0.179,0.513,0.348927875,0.211,0.43,0.490697674,9.998,0.283333333,0.512904565,10 cm ruler,,,,,,,,,,,,,,,,
SOBO3branch1,Stemmadenia obovata,Non-dietary,3,1,0.213,0.511,0.416829746,0.064,0.351,0.182336182,0.168,0.506,0.33201581,10,0.148333333,0.310393913,10 cm ruler,,,,,,,,,,,,,,,,
SOBO3branch2,Stemmadenia obovata,Non-dietary,3,2,0.193,0.564,0.342198582,0.043,0.606,0.070957096,0.132,0.569,0.23198594,10,0.122666667,0.215047206,10 cm ruler,,,,,,,,,,,,,,,,
SOBO4branch1,Stemmadenia obovata,Non-dietary,4,1,0.211,0.618,0.341423948,0.097,0.603,0.160862355,0.13,0.568,0.228873239,10,0.146,0.243719848,10 cm ruler,,,,,,,,,,,,,,,,
SOBO4branch2,Stemmadenia obovata,Non-dietary,4,2,0.268,0.52,0.515384615,0.1,0.403,0.248138958,0.117,0.52,0.225,10,0.161666667,0.329507858,10 cm ruler,,,,,,,,,,,,,,,,
SOBO5branch1,Stemmadenia obovata,Non-dietary,5,1,0.261,0.523,0.499043977,0.099,0.538,0.18401487,0.179,0.49,0.365306122,10.008,0.179666667,0.34945499,10 cm ruler,,,,,,,,,,,,,,,,
GSEP1branch1,Glircidia sepium,Non-dietary,1,1,0.468,0.615,0.76097561,0.373,0.483,0.772256729,0.399,0.6,0.665,10,0.413333333,0.732744113,10 cm ruler,,,,,,,,,,,,,,,,
GSEP1branch2,Glircidia sepium,Non-dietary,1,2,0.39,0.614,0.635179153,0.273,0.48,0.56875,0.324,0.563,0.575488455,9.983,0.329,0.593139203,10 cm ruler,,,,,,,,,,,,,,,,
GSEP2branch1,Glircidia sepium,Non-dietary,2,1,0.441,0.706,0.624645892,0.27,0.48,0.5625,0.3,0.525,0.571428571,9.985,0.337,0.586191488,10 cm ruler,,,,,,,,,,,,,,,,
GSEP2branch2,Glircidia sepium,Non-dietary,2,2,0.364,0.524,0.694656489,0.187,0.451,0.414634146,0.278,0.439,0.633257403,10,0.276333333,0.580849346,10 cm ruler,,,,,,,,,,,,,,,,
GSEP3branch1,Glircidia sepium,Non-dietary,3,1,0.407,0.627,0.649122807,0.272,0.53,0.513207547,0.337,0.562,0.599644128,10.001,0.338666667,0.587324827,10 cm ruler,,,,,,,,,,,,,,,,
GSEP3branch2,Glircidia sepium,Non-dietary,3,2,0.41,0.547,0.749542962,0.288,0.412,0.699029126,0.342,0.452,0.756637168,10,0.346666667,0.735069752,10 cm ruler,,,,,,,,,,,,,,,,
GSEP4branch1,Glircidia sepium,Non-dietary,4,1,0.312,0.495,0.63030303,0.246,0.506,0.486166008,0.272,0.506,0.537549407,10.001,0.276666667,0.551339482,10 cm ruler,,,,,,,,,,,,,,,,
GSEP4branch2,Glircidia sepium,Non-dietary,4,2,0.418,0.563,0.742451155,0.245,0.462,0.53030303,0.248,0.51,0.48627451,9.984,0.303666667,0.586342898,10 cm ruler,,,,,,,,,,,,,,,,
GSEP5branch1,Glircidia sepium,Non-dietary,5,1,0.234,0.424,0.551886792,0.089,0.307,0.28990228,0.176,0.307,0.573289902,10,0.166333333,0.471692992,10 cm ruler,,,,,,,,,,,,,,,,
GSEP5branch2,Glircidia sepium,Non-dietary,5,2,0.289,0.486,0.594650206,0.131,0.394,0.33248731,0.196,0.382,0.513089005,9.998,0.205333333,0.480075507,10 cm ruler,,,,,,,,,,,,,,,,
